title（注意，所有单元格都不要包含换行符）,variant,price,imgUrl,link,l2,l3,inviteId,modelId,final_1688_link,price judge,上传日期,itemid,最大价格,价格档位,空置，该列请勿删除，否则会导致数据错乱,l4
SNAILWHITE 美白亮肤滴剂,SNAILWHITE 美白亮肤滴剂,1.6,https://cf.shopee.ph/file/ph-11134207-820l7-moy8b5kxbrbj41,http://shopee.ph/product/48034555/10839447521,Skincare,Facial Serum & Essence,IVCN202606250810,1.11969E+11,https://detail.1688.com/offer/918724911490.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,6月25日,10839447521,24.07,热销品,,
露得清深层清洁温和泡沫洁面乳 100克,默认,4.23,https://cf.shopee.com.my/file/my-11134207-820l8-mgemu401ymmld4,http://shopee.com.my/product/62781995/1084111319,Skincare,Facial Cleanser,IVCN202606250812,60442649443,https://detail.1688.com/offer/1004933548415.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,6月25日,1084111319,7.61,热销品,,
Face Republic 焕彩金矿物洁面乳 100毫升 [油性、混合性、肤色不均 / 维生素C、维生素B3],焕彩金洁面乳,11.8,https://cf.shopee.ph/file/ph-11134207-820lb-mntlmohyawaq45,http://shopee.ph/product/44792426/1087556711,Skincare,Facial Cleanser,IVCN202606250814,2.05053E+11,https://detail.1688.com/offer/632996235285.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,6月25日,1087556711,12.68,热销品,,
G博士：水润保湿凝露霜（50毫升）,G博士：水润保湿凝露霜（50毫升）,4,https://cf.shopee.com.my/file/sg-11134201-7rd4t-lx1vmw92kccmdd,http://shopee.com.my/product/296108404/10978521417,Skincare,Facial Moisturizer,IVCN202606250816,1.33094E+11,https://detail.1688.com/offer/784803365048.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0,1688三档价格,6月25日,10978521417,59.62,热销品,,
[Hannah Live 6.6] 雪花秀润泽赋活精华液 30ml - 从根源上抗衰老精华。,[Hannah Live 6.6] 雪花秀润泽赋活精华液 30ml - 从根源上抗衰老精华。,18.2,https://cf.shopee.vn/file/vn-11134207-81ztc-mp4g1xgl8r2l6f,http://shopee.vn/product/225761145/11253796159,Skincare,Facial Serum & Essence,IVCN202606250818,1.2083E+11,https://detail.1688.com/offer/721852037115.html?spm=a26352.13672862.offerlist.9.51207e7al8IGsf&offerId=721852037115&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=5534703060625&trace_log=normal&uuid=b5e2b995a25a43e280836e6c97203c48&forcePC=1762421077737,1688三档价格,6月25日,11253796159,142.77,热销品,,
卡尼尔亮白焕采精华液 30ml - 日间滋养精华液，保护并提亮肌肤 [维生素 C + 烟酰胺],卡尼尔亮白焕采精华液 30ml - 日间滋养精华液，保护并提亮肌肤 [维生素 C + 烟酰胺],6,https://cf.shopee.vn/file/sg-11134201-823r8-mp43hbko32m883,http://shopee.vn/product/421677475/11406984091,Skincare,Facial Serum & Essence,IVCN202606250820,75629371851,https://detail.1688.com/offer/970590998952.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i10&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,6月25日,11406984091,17.34,热销品,,
贝德玛舒缓洁面啫喱（混合性及油性肌肤适用）- 200毫升（管装）,贝德玛舒缓洁面啫喱（混合性及油性肌肤适用）- 200毫升（管装）,8,https://cf.shopee.vn/file/sg-11134201-823od-mot491yyizuo71,http://shopee.vn/product/233692311/11530512474,Skincare,Facial Cleanser,IVCN202606250822,1.01602E+11,https://detail.1688.com/offer/924650532739.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,11530512474,20.65,热销品,,
Ellana Eyes Up 提拉亮白眼部精华液，含咖啡籽提取物和维生素C,1件 无盒 30克,2.23,https://cf.shopee.ph/file/ph-11134207-7ras9-m9lbsu5yonf17f,http://shopee.ph/product/1914618/11772855858,Skincare,Eye Treatment,IVCN202606250824,2.27656E+11,https://detail.1688.com/offer/809460255390.html?spm=a26352.b28411319.offerlist.21.1fc01e62xAjps5,1688三档价格,6月25日,11772855858,13.79,热销品,,Others
skin1004 马达加斯加积雪草轻盈卸妆油 200ml,轻盈卸妆油 200毫升,13,https://cf.shopee.com.br/file/3d22d9ee926a6fdd84bc087f00969e9f,http://shopee.com.br/product/457864097/11881002430,Skincare,Facial Cleanser,IVCN202606250826,1.23407E+11,https://detail.1688.com/offer/846941274198.html?spm=a26352.b28411319.offerlist.12.7d481e62fz0Gcx,1688三档价格,6月25日,11881002430,42.36,热销品,,
Isntree 洋葱新疗凝胶霜 50ml,Isntree 洋葱新疗凝胶霜 50ml,5.5,https://cf.shopee.ph/file/sg-11134207-7rcc6-lss36ymoebhc69,http://shopee.ph/product/430960361/12031544318,Skincare,Facial Moisturizer,IVCN202606250828,85395221945,https://detail.1688.com/offer/902554071715.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,12031544318,45.72,热销品,,
Round Lab 1025 独岛洁面乳 150ml,1025 独岛清洁剂 150毫升,6,https://cf.shopee.com.br/file/40e079003767be822f26aacca458d9d2,http://shopee.com.br/product/457864097/12072180858,Skincare,Facial Cleanser,IVCN202606250830,1.41992E+11,https://detail.1688.com/offer/895221030159.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,12072180858,26.75,热销品,,
Isntree Hyper Retinol EX 1.0 精华液 20ml,Isntree Hyper Retinol EX 1.0 精华液 20ml,4.67,https://cf.shopee.ph/file/sg-11134207-7rbk2-lprmas52617uce,http://shopee.ph/product/430960361/12198844675,Skincare,Facial Serum & Essence,IVCN202606250832,59306555323,https://detail.1688.com/offer/742273537425.html?spm=a26352.13672862.offerlist.1.25601e62ig9JU4&cosite=-&tracelog=p4p&_p_isad=1&clickid=03c81309fef44468b73d03c014c8bb5a&sessionid=51543f8f3973dc5ec133aea552d43188,1688三档价格,6月25日,12198844675,26.22,热销品,,
Isntree Hyper Retinol EX 1.0 精华液 20ml,Isntree Hyper Retinol EX 1.0 精华液 20ml,4.67,https://cf.shopee.ph/file/sg-11134207-7rbk2-lprmas52617uce,http://shopee.ph/product/430960361/12198844675,Skincare,Facial Serum & Essence,IVCN202606250832,59306555323,https://detail.1688.com/offer/742273537425.html?spm=a26352.13672862.offerlist.1.25601e62ig9JU4&cosite=-&tracelog=p4p&_p_isad=1&clickid=03c81309fef44468b73d03c014c8bb5a&sessionid=51543f8f3973dc5ec133aea552d43188,1688三档价格,6月25日,12198844675,26.22,热销品,,
Isntree Hyper Retinol EX 1.0 精华液 20ml,Isntree Hyper Retinol EX 1.0 精华液 20ml,4.67,https://cf.shopee.ph/file/sg-11134207-7rbk2-lprmas52617uce,http://shopee.ph/product/430960361/12198844675,Skincare,Facial Serum & Essence,IVCN202606250832,59306555323,https://detail.1688.com/offer/742273537425.html?spm=a26352.13672862.offerlist.1.25601e62ig9JU4&cosite=-&tracelog=p4p&_p_isad=1&clickid=03c81309fef44468b73d03c014c8bb5a&sessionid=51543f8f3973dc5ec133aea552d43188,1688三档价格,6月25日,12198844675,26.22,热销品,,
Isntree Hyper Retinol EX 1.0 精华液 20ml,Isntree Hyper Retinol EX 1.0 精华液 20ml,4.67,https://cf.shopee.ph/file/sg-11134207-7rbk2-lprmas52617uce,http://shopee.ph/product/430960361/12198844675,Skincare,Facial Serum & Essence,IVCN202606250832,59306555323,https://detail.1688.com/offer/742273537425.html?spm=a26352.13672862.offerlist.1.25601e62ig9JU4&cosite=-&tracelog=p4p&_p_isad=1&clickid=03c81309fef44468b73d03c014c8bb5a&sessionid=51543f8f3973dc5ec133aea552d43188,1688三档价格,6月25日,12198844675,26.22,热销品,,
卡尼尔亮白维C精华液（50毫升）- 亮白、面部精华、护肤、淡斑,卡尼尔亮白维C精华液（50毫升）- 亮白、面部精华、护肤、淡斑,3,https://cf.shopee.ph/file/ph-11134207-820la-mp3hfkjxwge931,http://shopee.ph/product/81845377/12223521349,Skincare,Facial Serum & Essence,IVCN202606250840,1.02941E+11,https://detail.1688.com/offer/984706982775.html?spm=a26352.13672862.offerlist.1.34d7429360qCdW&cosite=-&tracelog=p4p&_p_isad=1&clickid=67f73b7775eb412f95ef4904066c980a&sessionid=ced39b08b637beb370d7a8f11e7ec71d,1688三档价格,6月25日,12223521349,21.64,热销品,,
KOJIESANT 亮肤面霜 30克,KOJIESANT 亮肤面霜 30克,2.4,https://cf.shopee.ph/file/ddf0cd0e94b381eaf9dacff39644e0c0,http://shopee.ph/product/92328166/12228015436,Skincare,Facial Moisturizer,IVCN202606250842,57525365941,https://detail.1688.com/offer/761413362155.html?spm=a26352.b28411319.offerlist.45.284e1e62IlfoHA,1688三档价格,6月25日,12228015436,2.7,热销品,,
[唐吉诃德] Keana 大米面膜（10片装）,[唐吉诃德] Keana 大米面膜（10片装）,6,https://cf.shopee.com.my/file/7ff54167a1403f159d5899690c301e14,http://shopee.com.my/product/388949019/12305350468,Skincare,Face Mask & Packs,IVCN202606250844,1.12281E+11,https://detail.1688.com/offer/645764039874.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,6月25日,12305350468,17.01,热销品,,
Senka 深层保湿 3X 玻尿酸精华液，密集补水，改善皱纹 30ml,Senka 深层保湿 3X 玻尿酸精华液，密集补水，改善皱纹 30ml,3,https://cf.shopee.vn/file/vn-11134201-7r98o-ll1w2roru5el8e,http://shopee.vn/product/193849872/12423490251,Skincare,Facial Serum & Essence,IVCN202606250846,77470070444,https://detail.1688.com/offer/666767175211.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i15&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,6月25日,12423490251,21.9,热销品,,
Mona Frema 美白浓缩α-熊果苷精华液 30ml：淡化色斑，提亮肤色，均匀肤色,30毫升,10.5,https://cf.shopee.vn/file/vn-11134207-7ras8-mck9gddc1vz637,http://shopee.vn/product/635729323/12465071077,Skincare,Facial Serum & Essence,IVCN202606250848,1.85281E+11,https://detail.1688.com/offer/844778683764.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0&tracelog=cps&clickid=9873196389435c2b299d2cdb50b0127d&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DD2DC7A927D55C03D6511A0CCA913FD65D6FA062685DFF8F7D920A558D1D5758C4B369BE324A83E744B8F19128B0D93E33FB8088B45F57B9E47F28FD2CC0E231B18AD4F779334558760FEF997084D4D5331EB6FC8DBCADED4C6C8CEEEE21320CC4BD39EA2FE12E3B14167BE384A6AA97459A456CC37B7FAAE621D04453E51F5311E420E3A80697F7B348394BC3CC3C62B9992F8828C4BE892AD9607842E965669ED8C0643D00A7F4F0901530E0C38BC011CBABA958CDB6257EE37DDAC588376B87CABE523D4790728DF466BC04F0BDF2AA890AE281B432744D82469BD9A960007D1E204A0056FEEF1684ADF9963ED876E%26cbu_cps_trace_flag%3Dwrite,1688三档价格,6月25日,12465071077,183.49,热销品,,
Derm Skin 尿素保湿乳液 60ml 120ml LL Skincare 10% 尿素 60 120ml,120毫升,2.5,https://cf.shopee.ph/file/3e0efd64bda145bea237a04e2c60fbc0,http://shopee.ph/product/724454437/12595146123,Skincare,Facial Moisturizer,IVCN202606250850,1.07099E+11,https://detail.1688.com/offer/837074107844.html?spm=a26352.13672862.offerlist.14.3cef1e628uph03,1688三档价格,6月25日,12595146123,6.15,热销品,,
T3祛痘凝胶 15克 T3祛痘凝胶 15克,T3祛痘凝胶 15克 T3祛痘凝胶 15克,1.05,https://cf.shopee.com.my/file/sg-11134201-825zp-mkyxh1kez9c7d5,http://shopee.com.my/product/21516516/12597312669,Skincare,Acne Treatment,IVCN202606250852,1.74961E+11,https://detail.1688.com/offer/645549323250.html?spm=a26352.13672862.offerlist.98.74791e627VsPv0,1688三档价格,6月25日,12597312669,3.79,热销品,,
DERMAXPro AxiLight精华液 50毫升,DERMAXPro AxiLight精华液 50毫升,3.6,https://cf.shopee.ph/file/ph-11134207-7rasf-m3abvgc03nb8ff,http://shopee.ph/product/19056990/1273468251,Skincare,Facial Serum & Essence,IVCN202606250854,52043581423,https://detail.1688.com/offer/712604870697.html?spm=a26352.13672862.offerlist.22.1a051e624L4mLj&cosite=-&tracelog=p4p&_p_isad=1&clickid=0b17dc5eb45f421cba5837b5f64939c8&sessionid=642f795f4e0f4430b88ed191b15e2946,1688三档价格,6月25日,1273468251,52.36,热销品,,
Face Republic 绽放玫瑰精华液 45毫升 [抗衰老、抗皱肌肤 / 玫瑰水、补骨脂酚] 纯素,Face Republic 绽放玫瑰精华液 45毫升 [抗衰老、抗皱肌肤 / 玫瑰水、补骨脂酚] 纯素,5.25,https://cf.shopee.ph/file/ph-11134207-820la-mntlwrgpy6td16,http://shopee.ph/product/44792426/12933334122,Skincare,Facial Serum & Essence,IVCN202606250856,1.21496E+11,https://detail.1688.com/offer/925792463614.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,12933334122,29.41,热销品,,
[Pyunkang Yul OFFICIAL] 舒缓保湿精华液 30ml,[Pyunkang Yul OFFICIAL] 舒缓保湿精华液 30ml,6.8,https://cf.shopee.com.my/file/sg-11134207-7rdx5-mc1sljaajj70e1,http://shopee.com.my/product/537109123/12940660129,Skincare,Facial Serum & Essence,IVCN202606250858,1.1891E+11,https://detail.1688.com/offer/909878697086.html?spm=a26352.13672862.offerlist.34.2fbc1e62QThmL2&cosite=-&tracelog=p4p&_p_isad=1&clickid=e29b6a432e354999994b2046670e98ea&sessionid=15e0350715ee4e9097c8e6b61e29e26c,1688三档价格,6月25日,12940660129,39.2,热销品,,
Lipstician 唇部精华液青春赋活 9g - 令双唇更粉嫩饱满的唇部精华液。,Lipstician 唇部精华液青春赋活 9g - 令双唇更粉嫩饱满的唇部精华液。,2.06,https://cf.shopee.vn/file/vn-11134207-81ztc-mow330tid4w27f,http://shopee.vn/product/59597911/13109980458,Skincare,Lip Treatment,IVCN202606250860,1.12457E+11,https://detail.1688.com/offer/761937508113.html?spm=a26352.13672862.offerlist.42.c2365ac3WGj0Rg&cosite=-&tracelog=p4p&_p_isad=1&clickid=d73853f2ba114c629d0862dddf04398f&sessionid=ead08ce61fb38fba6d607bf054be08a2,1688三档价格,6月25日,13109980458,36.22,热销品,,Lip Balm
【热销】SKINTIFIC 360°水晶按摩提拉眼霜 抗衰老 淡化黑眼圈 提亮眼周肌肤,眼霜,16.67,https://cf.shopee.ph/file/ph-11134201-23030-p0fadff90dovf3,http://shopee.ph/product/612831390/13262308192,Skincare,Eye Treatment,IVCN202606250862,2.21172E+11,https://detail.1688.com/offer/710769971881.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A213f867c17642281763162364e0ce6&token=jxbEnnoesVE%2FNkg8q5ltsbDc4enFruwBDWbGkoPQ6%2BF8Qf3fILSqRJI6ShPoGENg&tracelog=cps&clickid=df50ead04c05f8ac84a52c86e1ca7f92&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DA6FEAF87A2FCFBDD05C1BD6ABB449CE46147FC88EA630CBAC31FEFBD3966EDE4DF88C915D5486E33D1003E749B3EAAA5861098A75E16F4D226600F2847DABD1A5F0FFA4FF39BCCC320D4625E68D0D47AF6FEC9241CC79F982F2298161E9E1CDCCBC0C60C71A1533B602B3425D7F4F8C4CFDDE5256382D4B60EC6B2CE0CC907127EEF6D6099BA67CE089F770C23C101B74AE08A8100DD4EE1E58D17A2DB1B82AB81920C9F8FC616122270CBD6BAA6D59C81FF0B632772BF57A6F5C261F6F7CE40124046D0A3477B3E9D24F8C2EC916E36476A3943DDA71376E63CB02E7AA3ADCA5911BEAD297B0E1A5345CBC3C70BF032%26cbu_cps_trace_flag%3Dwrite,1688三档价格,6月25日,13262308192,61.54,热销品,,Eye Cream
Nutox 青春赋活洁面泡沫（适合所有??肤质）100毫升,默认,1.8,https://cf.shopee.com.my/file/my-11134207-7qula-lgirl9q7bfc988,http://shopee.com.my/product/78250974/1329001396,Skincare,Facial Cleanser,IVCN202606250864,40442648101,https://detail.1688.com/offer/854825430210.html?spm=a26352.13672862.offerlist.49.39771e62OpaV0a&cosite=-&tracelog=p4p&_p_isad=1&clickid=ccf564c74e3e4eb5b546b270b0922a0d&sessionid=665d78dd565f4dcc9f6506247a7acaad,1688三档价格,6月25日,1329001396,8.35,热销品,,
Happyskin 品牌 Emmie 出品的 10 片装生物纤维素椰子胚芽面膜，B5 修复肌肤，B3 美白，25 克 x 10 片。,B5修复面膜,5,https://cf.shopee.vn/file/vn-11134207-81ztc-mp3tx8il3j0r57,http://shopee.vn/product/52045633/13385351806,Skincare,Face Mask & Packs,IVCN202606250866,1.85971E+11,https://detail.1688.com/offer/676670147662.html?kj_agent_plugin=aliprice&fromkv=xytTrace:210702e017617338843675662e0e64&token=eo%2F2NwyORl%2FHDCcCe6x4YVBsYecp5lml7gCL4qfGKdihsqFbj6zBTWEAg09zcU3U,1688三档价格,6月25日,13385351806,26.45,热销品,,
iWhite 韩国面霜管 65ml,iWhite 韩国面霜管 65ml,7.34,https://cf.shopee.ph/file/ph-11134207-81ztg-mi0yn55j864j6a,http://shopee.ph/product/625020025/13475139163,Skincare,Facial Moisturizer,IVCN202606250868,1.34063E+11,https://detail.1688.com/offer/763449958608.html?spm=a26352.13672862.offerlist.152.2d621e62dj0Hb7,1688三档价格,6月25日,13475139163,7.34,热销品,,
伊蒂之 (ETUDE) Soonjung 5.5 泡沫洁面乳 150ml,伊蒂之 (ETUDE) Soonjung 5.5 泡沫洁面乳 150ml,9,https://cf.shopee.ph/file/sg-11134207-7rcdc-lrr3rimxh99k52,http://shopee.ph/product/368680067/13590186487,Skincare,Facial Cleanser,IVCN202606250870,68711716399,https://detail.1688.com/offer/952964626400.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2154647417642267576287894e160b&token=OtGMt0F80adlL%2FwfG6twcRWih3Va4SmJo4vyS8CJnf52CLGvCEBtqrAeCt3aP7Cr,1688三档价格,6月25日,13590186487,21.3,热销品,,
Derma Factory 烟酰胺 20% 精华液：一款具有提亮肤色、保湿和抗痘功效的精华液。,Derma Factory 烟酰胺 20% 精华液：一款具有提亮肤色、保湿和抗痘功效的精华液。,4.46,https://cf.shopee.vn/file/vn-11134207-820l4-mgddti0zhrf360,http://shopee.vn/product/556602266/13732127868,Skincare,Facial Serum & Essence,IVCN202606250872,2.55379E+11,https://detail.1688.com/offer/597581462232.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,6月25日,13732127868,4.74,热销品,,
Ziaja Med 3% 尿素乳液有助于滋润肌肤，减少干燥、粗糙和皲裂（50毫升）。,Ziaja Med 3% 尿素乳液有助于滋润肌肤，减少干燥、粗糙和皲裂（50毫升）。,9,https://cf.shopee.vn/file/sg-11134201-7rdxv-m1lktyrzei4db1,http://shopee.vn/product/408810138/13856482596,Skincare,Facial Moisturizer,IVCN202606250874,86073749963,,1688三档价格,6月25日,13856482596,41.99,热销品,,
【畅销产品】SKINTIFIC 5倍神经酰胺面部修护肌肤屏障保湿乳液，令肌肤柔滑,??畅销产品-30克,5,https://cf.shopee.ph/file/ph-11134207-7ra0k-mbywjps8dpobf3,http://shopee.ph/product/612831390/13866788266,Skincare,Facial Moisturizer,IVCN202606250876,2.13292E+11,https://detail.1688.com/offer/985384743046.html?spm=a26352.b28411319.offerlist.217.54091e62eHvYQ1,1688三档价格,6月25日,13866788266,15.66,热销品,,
Camou 男士双头润唇膏，颜色可调，带清凉效果，SPF15 乳木果油,单身的,1.5,https://cf.shopee.ph/file/ph-11134207-7r98q-lxze1w7wa1r548,http://shopee.ph/product/1069631670/14099595631,Skincare,Lip Treatment,IVCN202606250878,1.57388E+11,https://detail.1688.com/offer/540347109196.html?spm=a26352.b28411319.offerlist.26.6b941e62zg8WHO,1688三档价格,6月25日,14099595631,12.44,热销品,,Lip Balm
Cris Cosmetics 的 Magic Balm Stain（唇部护理）,大丽花,4.29,https://cf.shopee.ph/file/ph-11134207-7rasa-m19lhu24tm2nb2,http://shopee.ph/product/20887447/14350456836,Skincare,Lip Treatment,IVCN202606250880,68331237016,https://detail.1688.com/offer/743837581823.html?spm=a26352.13672862.offerlist.14.59e81e626dCWNf,1688三档价格,6月25日,14350456836,4.29,热销品,,Lip Balm
Cosmoderm Luminous A 3倍保湿精华水（视黄醇）100毫升，爽肤水，抗衰老，肌肤更新，保湿，水润,Cosmoderm Luminous A 3倍保湿精华水（视黄醇）100毫升，爽肤水，抗衰老，肌肤更新，保湿，水润,8.43,https://cf.shopee.com.my/file/my-11134207-7r98y-ly4t6xzh632gcb,http://shopee.com.my/product/9222139/14368881264,Skincare,Facial Serum & Essence,IVCN202606250882,1.06018E+11,https://detail.1688.com/offer/987267442329.html?spm=a26352.13672862.offerlist.228.4e706884XSeEYv&offerId=987267442329&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6117698590293&trace_log=normal&uuid=aace9ea57e5c4b23874f4983e370b6ce&forcePC=1762425221208,1688三档价格,6月25日,14368881264,10.1,热销品,,
